date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:31	28702/28702	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/faq2.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/faq2.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:31	16687/16687	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:52%20GMT	http://webdesign-finder.com/html/plastrix/404.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/404.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:33	16671/16671	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:52%20GMT	http://webdesign-finder.com/html/plastrix/4042.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/4042.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:34	23629/23629	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/services.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/services.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:35	21750/21750	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/header1.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/header1.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:36	26572/26572	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/header2.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/header2.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:37	27282/27282	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/header3.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/header3.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:37	23124/23124	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/header4.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/header4.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:38	22307/22307	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/header5.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/header5.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:39	22144/22144	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:54%20GMT	http://webdesign-finder.com/html/plastrix/header6.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/header6.html	(from http://webdesign-finder.com/html/plastrix/)
